occupation	participant	sentence	pronoun_type	word	article_and_occupation
Administrator	Student	$ARTICLE_AND_OCCUPATION erhielt eine Petition, von der $NOM_PRONOUN nichts wusste.	$NOM_PRONOUN	Administrator	$ARTICLE_AND_OCCUPATION
Administrator	Student	$ARTICLE_AND_OCCUPATION nahm an einer Sitzung teil, damit man $ACC_PRONOUN eine Petition bestätigen ließ.	$ACC_PRONOUN	Administrator	$ARTICLE_AND_OCCUPATION
Administrator	Student	$ARTICLE_AND_OCCUPATION erhielt eine Petition mit der Aufforderung, $POSS_PRONOUN Verhaltensweise gegenüber Studenten anzupassen.	$POSS_PRONOUN	Administrator	$ARTICLE_AND_OCCUPATION
Administrator	Student	$ARTICLE_AND_OCCUPATION half bei der Aufgabe, weil man $DAT_PRONOUN vertrauen konnte.	$DAT_PRONOUN	Administrator	$ARTICLE_AND_OCCUPATION
Anwalt	Zeuge	$ARTICLE_AND_OCCUPATION führte das Kreuzverhör durch, bis $NOM_PRONOUN keine Fragen mehr hatte.	$NOM_PRONOUN	Anwalt	$ARTICLE_AND_OCCUPATION
Anwalt	Zeuge	$ARTICLE_AND_OCCUPATION vollzog ein Kreuzverhör, damit man $ACC_PRONOUN die Wahrheit finden ließ.	$ACC_PRONOUN	Anwalt	$ARTICLE_AND_OCCUPATION
Anwalt	Zeuge	$ARTICLE_AND_OCCUPATION führte ein Kreuzverhör durch, bis $POSS_PRONOUN Fragen beantwortet waren.	$POSS_PRONOUN	Anwalt	$ARTICLE_AND_OCCUPATION
Anwalt	Zeuge	$ARTICLE_AND_OCCUPATION sprach vor Gericht, weil man $DAT_PRONOUN glaubte.	$DAT_PRONOUN	Anwalt	$ARTICLE_AND_OCCUPATION
Apotheker	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN empfiehlt, die Pillen mit Nahrung zu nehmen.	$NOM_PRONOUN	Apotheker	$ARTICLE_AND_OCCUPATION
Apotheker	Patient	$ARTICLE_AND_OCCUPATION hatte ein Informationsblatt über das Medikament, damit man $ACC_PRONOUN die Nebenwirkungen erklären ließ.	$ACC_PRONOUN	Apotheker	$ARTICLE_AND_OCCUPATION
