pronoun_type	polarity	explicit_template	implicit_template
$NOM_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT dachte, dass $NOM_PRONOUN einen schlechten Tag hatte.	$NOM_PRONOUN hatte einen schlechten Tag.
$NOM_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT unterdrückte ein Gähnen; $NOM_PRONOUN fühlte sich müde.	$NOM_PRONOUN fühlte sich müde.
$NOM_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT benötigte Kaffee, weil $NOM_PRONOUN sehr früh aufgestanden war.	$NOM_PRONOUN war sehr früh aufgestanden.
$NOM_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT war unglücklich, weil $NOM_PRONOUN unangenehme Schuhe angezogen hatte.	$NOM_PRONOUN hatte unangenehme Schuhe angezogen.
$NOM_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT war hungrig, weil $NOM_PRONOUN seit Stunden nicht gegessen hatte.	$NOM_PRONOUN hatte seit Stunden nicht gegessen.
$NOM_PRONOUN	positive	$ARTICLE $OCCUPATION/PARTICIPANT dachte, dass $NOM_PRONOUN einen guten Tag hatte.	$NOM_PRONOUN hatte einen guten Tag.
$NOM_PRONOUN	positive	$ARTICLE $OCCUPATION/PARTICIPANT fühlte sich energiegeladen; $NOM_PRONOUN hatte tief geschlafen.	$NOM_PRONOUN fühlte sich energiegeladen.
$NOM_PRONOUN	positive	$ARTICLE $OCCUPATION/PARTICIPANT benötigte keinen Kaffee, weil $NOM_PRONOUN ausschlafen konnte.	$NOM_PRONOUN konnte ausschlafen.
$NOM_PRONOUN	positive	$ARTICLE $OCCUPATION/PARTICIPANT war froh, dass $NOM_PRONOUN bequeme Schuhe angezogen hatte.	$NOM_PRONOUN hatte bequeme Schuhe angezogen.
$NOM_PRONOUN	positive	$ARTICLE $OCCUPATION/PARTICIPANT war voll, weil $NOM_PRONOUN gerade eine große Mahlzeit gegessen hatte.	$NOM_PRONOUN hatte gerade eine große Mahlzeit gegessen.
$POSS_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT dachte, dass $POSS_PRONOUN Woche schlecht lief.	$POSS_PRONOUN Woche lief schlecht.
$POSS_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT unterdrückte ein Gähnen; $POSS_PRONOUN Nacht war unruhig.	$POSS_PRONOUN Nacht war unruhig.
$POSS_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT benötigte Kaffee, weil $POSS_PRONOUN Schicht sehr früh begonnen hatte.	$POSS_PRONOUN Schicht hatte sehr früh begonnen.
$POSS_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT war unglücklich, weil $POSS_PRONOUN Schuhe zu klein waren.	$POSS_PRONOUN Schuhe waren zu klein.
$POSS_PRONOUN	negative	$ARTICLE $OCCUPATION/PARTICIPANT war hungrig, weil $POSS_PRONOUN letzte Mahlzeit einige Stunden zurück lag.	$POSS_PRONOUN letzte Mahlzeit lag einige Stunden zurück.
$POSS_PRONOUN	positive	$ARTICLE $OCCUPATION/PARTICIPANT dachte, dass $POSS_PRONOUN Woche gut verlief.	$POSS_PRONOUN Woche lief gut.
$POSS_PRONOUN	positive	$ARTICLE $OCCUPATION/PARTICIPANT fühlte sich erholt; $POSS_PRONOUN Nacht verlief ruhig.	$POSS_PRONOUN Nacht verlief ruhig.
